date,ticker,name,wave_stage,score,close,volume,MA20,MA50,RSI,Position52
2025-12-30,100090,SK오션플랜트,Transition,80,20350.0,379109.0,19316.0,19983.0,61.64154103852596,0.437720625315179
2025-12-30,217910,에스제이켐,Early Uptrend,80,411.0,11082.0,382.75,355.8,53.15068493150685,0.5166666666666667
2025-12-30,441270,파인엠텍,Transition,80,9920.0,652286.0,9606.5,9305.8,61.386138613861384,0.5943165115139637
2025-12-30,000180,성창기업지주,Transition,80,1526.0,80834.0,1516.05,1498.54,56.48535564853556,0.5190947666195191
2025-12-30,451220,아이엠티,Transition,80,9740.0,95102.0,9157.0,9404.8,62.6984126984127,0.35394126738794435
2025-12-30,118990,모트렉스,Early Uptrend,80,9560.0,506903.0,8793.0,8315.0,60.36446469248291,0.5938242280285035
2025-12-30,060560,HC홈센타,Early Uptrend,80,744.0,87529.0,728.75,705.92,77.04918032786885,0.6838235294117647
2025-12-30,074430,아미노로직스,Early Uptrend,80,1194.0,12809790.0,940.5,934.0,86.4306784660767,0.7483443708609272
2025-12-30,059270,해성에어로보틱스,Early Uptrend,80,9520.0,667946.0,8886.0,8695.2,55.3921568627451,0.7167182662538699
2025-12-30,112190,KC산업,Early Uptrend,80,1750.0,2582.0,1582.0,1481.5,63.458856345885636,0.6302521008403361
2025-12-30,002600,조흥,Early Uptrend,80,159800.0,838.0,154830.0,152850.0,66.08187134502924,0.48363636363636364
2025-12-30,007820,에스엠코어,Transition,80,4420.0,290749.0,4238.75,4106.8,56.25,0.42152466367713004
2025-12-30,053080,케이엔솔,Transition,80,11820.0,62745.0,11416.0,11586.6,56.15384615384615,0.3403141361256545
2025-12-30,004440,삼일씨엔에스,Early Uptrend,80,5930.0,5240700.0,4782.75,4546.5,69.82507288629738,0.7269180754226268
2025-12-30,276240,엘리비젼,Early Uptrend,80,489.0,34463.0,454.7,454.12,48.65470852017937,0.7477064220183486
2025-12-30,122830,원포유,Early Uptrend,80,2245.0,22309.0,1589.5,1471.56,84.72949389179756,0.5968712394705175
2025-12-30,217320,썬테크,Early Uptrend,80,1384.0,30.0,734.95,659.38,84.26573426573427,0.4611764705882353
2025-12-30,123690,한국화장품,Transition,80,10040.0,229532.0,9787.5,10167.8,52.84974093264249,0.5766016713091922
